Model,Layer Name,Self CPU (us),CPU Total (us),CUDA Total (us),Self CPU Mem (bytes),Self CUDA Mem (bytes),Total Execution Time (us),Total Memory Used (bytes),Compute
CNN,conv1,39.84199999999964,39.84199999999964,0.0,0,0,39.84199999999964,0,CPU
CNN,relu,139.60399999999115,3621.073,0.0,0,0,3621.073,0,CPU
CNN,pool,18654.803,37204.627,0.0,2408448,0,37204.627,2408448,CPU
CNN,conv2,94.40099999999984,397.9939999999997,390.4870000000001,0,0,788.4809999999998,0,CPU+GPU
CNN,relu,216.42799999999897,362.2709999999988,360.1839999999993,0,0,722.4549999999981,0,CPU+GPU
CNN,conv1,72.78799999999956,72.78799999999956,0.0,0,0,72.78799999999956,0,CPU+GPU
CNN,pool,195.19400000000127,339.50900000000274,308.0549999999985,0,2408448,647.5640000000012,2408448,CPU+GPU
CNN,fc1,64.18800000000101,64.18800000000101,0.0,0,0,64.18800000000101,0,CPU+GPU
CNN,dropout,118.66800000000148,291.755000000001,15.645000000000437,0,-8192,307.40000000000146,-8192,CPU+GPU
CNN,fc2,58.88100000000031,58.88100000000031,0.0,0,0,58.88100000000031,0,CPU+GPU
CNN,misc,5650.314000000003,10307.337,2803.6739999999927,0,2560,13111.010999999991,2560,CPU+GPU
FFN,hidden_layers.2,46.60799999999995,46.60799999999995,0.0,0,0,46.60799999999995,0,CPU
FFN,relu,206.97299999999905,378.1679999999992,14.848000000000413,0,0,393.0159999999996,0,CPU+GPU
FFN,hidden_layers.3,39.66700000000037,39.66700000000037,0.0,0,0,39.66700000000037,0,CPU+GPU
CNN,conv2,63.41499999999724,12122.538999999995,0.0,0,0,12122.538999999995,0,CPU
CNN,misc,34507.89099999998,92425.50900000002,0.0,203776,0,92425.50900000002,203776,CPU
FFN,hidden_layers,170.6110000000008,170.6110000000008,0.0,0,0,170.6110000000008,0,CPU+GPU
FFN,hidden_layers.0,62.8130000000001,62.8130000000001,0.0,0,0,62.8130000000001,0,CPU+GPU
FFN,hidden_layers.1,37.26500000000033,37.26500000000033,0.0,0,0,37.26500000000033,0,CPU+GPU
FFN,misc,3804.8790000000017,7493.668999999998,296.9569999999976,0,2560,7790.625999999996,2560,CPU+GPU
CNN,fc2,47.77100000000064,47.77100000000064,0.0,0,0,47.77100000000064,0,CPU
FFN,hidden_layers.2,69.76499999999987,69.76499999999987,0.0,0,0,69.76499999999987,0,CPU+GPU
FFN,input_layer,58.38100000000031,58.38100000000031,0.0,0,0,58.38100000000031,0,CPU+GPU
CNN,fc1,62.98400000000038,62.98400000000038,0.0,0,0,62.98400000000038,0,CPU
CNN,dropout,76.48999999999796,202.32600000000093,0.0,-32768,0,202.32600000000093,-32768,CPU
FFN,input_layer,47.388999999999896,47.388999999999896,0.0,0,0,47.388999999999896,0,CPU
FFN,relu,180.78300000000263,222.1210000000044,0.0,0,0,222.1210000000044,0,CPU
FFN,hidden_layers,132.73400000000402,132.73400000000402,0.0,0,0,132.73400000000402,0,CPU
FFN,hidden_layers.0,32.81800000000294,32.81800000000294,0.0,0,0,32.81800000000294,0,CPU
FFN,hidden_layers.1,41.07099999999991,41.07099999999991,0.0,0,0,41.07099999999991,0,CPU
FFN,hidden_layers.3,29.85900000000038,29.85900000000038,0.0,0,0,29.85900000000038,0,CPU
FFN,output_layer,33.67099999999846,33.67099999999846,0.0,0,0,33.67099999999846,0,CPU
FFN,misc,1979.5160000000055,3282.846000000015,0.0,28672,0,3282.846000000015,28672,CPU
FFN,output_layer,49.345000000000255,49.345000000000255,0.0,0,0,49.345000000000255,0,CPU+GPU
